Empresa,Nº Stand
NTT DATA,1
IMATIA INNOVATION,2
CAMPUS DUAL TIC,3
CEAGA,4
FINANCIERA MADERERA SA,5
SREC Solutions,6
TECHNICA,7
OPTARE SOLUTIONS SA,8
Centum,9
planCiber,10
GBTEC SOFTWARE,11
"DATASPARTAN ESPAÑA, S.L.",12
EGATEL ,13
GRADIANT,14
Deloitte,15
atlanTTic Research Center (Universidade de Vigo),16
Balidea Consulting & Programming S.L.,17
TTALENT,18
Ineco,19
"Marine Instruments, S.A.U.",20
SERVEO,21
Indra,22
"ASM SOFT, S.L.",23
DINAK,24
GOC S.A,25
Applus Servicios Tecnológicos,26
Grupo Servicio Movil,27
COREN,28
Management Solutions,29
ICOIIG,30
BorgWarner,31
Norvento Enerxía,32
ZF LIFETEC,33
GMV,34
Alén Space,35
Televes Corporación,36
CTAG-CENTRO TECNOLÓGICO DE AUTOMOCIÓN DE GALICIA,37
FEUGA,38
IDOM Consulting Engineering Architecture SAU,39
STAC,40
"ICTEL INGENIEROS, S.L. ",41
EY Consulting,42
Inasus SL,43
Grupo Oesía,44
Grupo Profand,45
Aertec,46
Syspro Automation SLU,47
PwC,48
SDG GROUP,49
ECOFOREST,50
KPMG,51
COITIVIGO,-
,-
,
,
,
Lista de espera,
,
,
,
,
,
,
No vienen,
GT Motive,
CORTIZO,
ADVENTUS PLUS SL,
Telefónica Tech,
,
,
Solo patro,
